,mean_time_gpu,std_time_gpu,mean_time_cpu,std_time_cpu
10,4.277291631698608,1.9040908898283675,0.001141810417175293,0.00018348894129322264
30,7.296106886863709,2.703222375578787,0.0016091108322143556,0.00020650752778229997
50,9.50856680870056,3.354393289027306,0.0027573108673095703,0.0006207223654661986
70,11.891423726081848,3.0820586537294408,0.003218340873718262,0.0003696959425634226
90,13.446649360656739,4.538422667671355,0.0037700891494750976,0.0006567060605242089
111,10.82240264415741,2.618627320714176,0.01062154769897461,0.0024717549770246613
131,15.211292743682861,3.430811735886068,0.011792206764221191,0.0026898300101325405
151,14.0847989320755,4.227085652192098,0.01203463077545166,0.0019705533733243995
171,15.706571173667907,4.216333201721233,0.011501765251159668,0.00231009011768021
191,15.948024725914001,3.7199710557955523,0.012940120697021485,0.0012379776153400642
212,16.131461095809936,4.737976860513402,0.01361377239227295,0.002296274876726114
232,20.83561749458313,5.8689103220597385,0.01629953384399414,0.003334864999108974
252,17.52718312740326,3.476274431670985,0.018820977210998534,0.002769236637399443
272,18.00997030735016,3.5693919637161313,0.017621397972106934,0.0032000627807658474
292,17.824117493629455,3.452112412799751,0.01771724224090576,0.0018906590443992155
313,19.870401430130006,2.935187870492536,0.019808745384216307,0.002334373383790263
333,21.181119871139526,4.769169265830292,0.02413809299468994,0.003406248450311592
353,22.275192308425904,4.493968332634782,0.025346136093139647,0.005273740358051318
373,20.641972756385805,3.0887311807514375,0.026004695892333986,0.005063215857440783
