,mean_time_gpu,std_time_gpu,mean_time_cpu,std_time_cpu
10,0.3361196517944336,0.0,0.0010080337524414062,0.0
17,2.8083572387695312,0.0,0.0014233589172363281,0.0
25,2.8266940116882324,0.0,0.0013117790222167969,0.0
33,2.8069376945495605,0.0,0.001310110092163086,0.0
41,3.067296266555786,0.0,0.0021882057189941406,0.0
49,3.0447983741760254,0.0,0.0019867420196533203,0.0
57,3.4024291038513184,0.0,0.0032372474670410156,0.0
65,3.208883047103882,0.0,0.0025665760040283203,0.0
73,4.123998641967773,0.0,0.004941463470458984,0.0
81,3.673370838165283,0.0,0.003954648971557617,0.0
89,3.2878921031951904,0.0,0.0026636123657226562,0.0
97,4.156471014022827,0.0,0.010721206665039062,0.0
105,5.313153982162476,0.0,0.010987520217895508,0.0
113,4.856699466705322,0.0,0.00970005989074707,0.0
121,3.103276491165161,0.0,0.003674030303955078,0.0
129,3.8628218173980713,0.0,0.006470680236816406,0.0
137,3.7921667098999023,0.0,0.0057141780853271484,0.0
145,5.612533092498779,0.0,0.013360261917114258,0.0
153,4.025299072265625,0.0,0.007475614547729492,0.0
161,4.9726786613464355,0.0,0.013087749481201172,0.0
169,4.165458917617798,0.0,0.008358240127563477,0.0
177,4.795648813247681,0.0,0.013152837753295898,0.0
185,4.64849328994751,0.0,0.010843276977539062,0.0
193,5.579406023025513,0.0,0.014078140258789062,0.0
201,4.459376096725464,0.0,0.010936975479125977,0.0
208,4.385713577270508,0.0,0.010240793228149414,0.0
216,4.801870584487915,0.0,0.011356115341186523,0.0
224,4.513040065765381,0.0,0.011334896087646484,0.0
232,4.7245774269104,0.0,0.016277313232421875,0.0
240,5.189967155456543,0.0,0.013982295989990234,0.0
248,4.524480819702148,0.0,0.012015819549560547,0.0
256,4.486935615539551,0.0,0.011541128158569336,0.0
264,3.957495927810669,0.0,0.009097576141357422,0.0
272,4.024914026260376,0.0,0.009677648544311523,0.0
280,5.0492188930511475,0.0,0.017719030380249023,0.0
288,6.1531982421875,0.0,0.01994466781616211,0.0
296,5.18226957321167,0.0,0.01759052276611328,0.0
304,4.440502882003784,0.0,0.012348175048828125,0.0
312,4.353461980819702,0.0,0.01262211799621582,0.0
320,5.120314598083496,0.0,0.015755891799926758,0.0
328,6.114377021789551,0.0,0.021583080291748047,0.0
336,6.042850732803345,0.0,0.02592945098876953,0.0
344,4.822788238525391,0.0,0.016033649444580078,0.0
352,5.4601616859436035,0.0,0.020412683486938477,0.0
360,4.7792534828186035,0.0,0.016968250274658203,0.0
368,5.7634618282318115,0.0,0.029249906539916992,0.0
376,4.898783922195435,0.0,0.0180051326751709,0.0
384,5.844098806381226,0.0,0.025914669036865234,0.0
392,4.309099912643433,0.0,0.015555620193481445,0.0
400,4.019187927246094,0.0,0.02991318702697754,0.0
